"Marin, CA",250750,44.5,52214,75860,40694,5055,246711,93,9389,186,64283,7,4,996,225,1082,107,273,696,593,1811,182,1080,84055,131410,8.3,547,5,1207,3326,604,53984,29615,1171,2069,90676,91108,16,39069,62653,3635,3319,2752,3203,3169,3394,2885,3314,3246,5838,8852,12796,11026,7402,9616,16639,16436,1917,86658,7.3,252409,5120,485.1,124072,128337,183830,6987,1523,13761
"Mariposa, CA",17792,49.2,3242,4673,3496,1649,17865,2,112,45,9917,3,2,53,14,66,13,8,13,22,18,6,33,0,9523,12.1,43,1,96,167,19,30320,2255,79,0,7338,6681,18,1676,4948,375,727,407,272,220,548,395,702,363,569,922,1006,586,296,192,103,14407,237,42775,13.5,18251,1121,12.6,9269,8982,15192,138,527,204
"Mendocino, CA",86040,41.5,19461,27994,13290,5312,86030,24,1333,157,21586,55,6,305,132,468,46,47,95,134,211,24,281,19607,43066,11.4,560,7,597,861,122,32062,13305,218,402,31757,31115,21.6,19505,21591,2724,2462,2242,2482,1876,2114,1759,2046,1566,3083,3103,3741,1870,1188,898,813,14234,2100,41488,17.5,87841,1576,25.1,43983,43858,60249,622,4277,1450
"Merced, CA",245321,29.6,80698,97483,24167,7210,242235,34,1703,106,22931,49,11,268,115,526,143,36,184,159,149,16,428,6387,107381,18.9,1541,21,2267,5658,1098,41816,56153,748,1030,75845,74337,18.4,140485,58767,5290,5493,5533,4934,4762,4291,3430,3577,3529,6574,7324,7885,4751,2329,1897,1529,13782,8624,39922,24.6,255793,45239,132.2,128737,127056,81599,9926,3473,18836
"Modoc, CA",9107,46.1,2124,2579,1804,1459,9162,3,138,16,1968,1,3,23,0,29,10,2,7,8,12,2,20,0,4151,14.1,43,0,50,107,8,30452,1277,13,39,3587,3342,17.2,1342,2611,300,440,400,254,244,343,175,179,160,182,307,346,226,125,65,27,13144,208,34290,19,9686,237,2.5,4878,4808,7649,82,370,78
"Mono, CA",12927,37.2,2979,5612,1861,3088,12925,4,128,22,9771,0,3,88,6,83,5,10,12,58,30,2,29,937,8692,10.3,49,0,122,265,12,36192,1709,56,81,5529,4460,28.6,3762,3415,258,269,220,425,116,250,325,424,75,624,443,729,336,248,142,130,16395,117,53973,11.7,14202,1349,4.7,7548,6654,9687,47,302,192
"Monterey, CA",410370,32.9,111013,163150,42286,4645,404922,88,7153,279,67126,76,26,877,267,1397,258,134,437,441,797,91,963,104539,219661,12.8,1973,36,3056,6541,1894,50658,70552,2379,2348,143113,127950,25.9,230003,90472,5137,6182,5557,6118,6140,5758,5918,5752,5703,10752,13537,17186,12172,6915,6567,5966,14322,6163,57647,17.2,415057,13295,126.5,213431,201626,136435,12785,5464,25258
"Napa, CA",134650,39.7,31486,46629,19941,27122,132173,47,2651,110,61078,38,4,475,419,516,86,39,209,199,412,51,428,22570,74424,9.8,832,1,768,2178,307,49656,20370,502,548,47832,46470,19.7,44010,33053,1691,2034,1856,1981,1583,2176,2250,2138,1646,3474,5206,6411,5098,3075,3831,3644,14862,912,66970,8.6,136484,12205,182.4,68159,68325,76967,2668,1058,9223
"Nevada, CA",97751,47.6,19106,26676,18170,7331,97063,28,1615,142,24324,12,3,584,153,406,44,45,153,156,384,25,343,16501,50612,11.5,263,1,356,924,142,34235,17562,392,551,36233,36356,18.5,8439,27254,1668,2007,1548,2104,2068,1936,1990,1945,1635,3557,4450,5425,3508,2180,1895,1626,15967,1186,57250,10.1,98764,6731,103.1,48835,49929,85477,389,1044,1187
"Orange, CA",3026786,36.2,736659,1157857,346897,12095,2976831,685,74196,3134,691582,40,67,6707,4956,9424,1238,1496,6404,4925,13945,1113,10327,1004247,1580859,9.6,7637,72,11583,44758,7364,57707,504136,19681,25061,999318,1001489,21.3,1012973,708491,37170,31467,32436,35275,36824,35863,37709,38561,36074,73219,100124,133880,103533,72871,80632,88363,15870,23823,71735,10.7,3010232,163943,3807.7,1488780,1521452,1328499,50744,18132,537804
