"Clayton, GA",3264,0.42,1857,0.239,1640,0.21100000000000002,531,0.068,333,0.043,
"Clinch, GA",412,0.509,164,0.20199999999999999,111,0.13699999999999998,85,0.105,12,0.015,
"Cobb, GA",38712,0.34600000000000003,34721,0.31,23683,0.212,8472,0.076,5149,0.046,
"Coffee, GA",2469,0.547,876,0.19399999999999998,580,0.128,410,0.091,120,0.027000000000000003,
"Colquitt, GA",2967,0.496,1398,0.23399999999999999,773,0.129,509,0.085,199,0.033,
"Columbia, GA",9177,0.34600000000000003,8049,0.304,5745,0.217,2124,0.08,1133,0.043,
"Cook, GA",1229,0.547,519,0.231,240,0.107,178,0.079,46,0.02,
"Coweta, GA",9593,0.379,6445,0.255,5828,0.23,1809,0.071,1324,0.052000000000000005,
"Crawford, GA",930,0.519,396,0.221,248,0.138,139,0.078,60,0.033,
"Crisp, GA",1204,0.502,533,0.222,399,0.166,148,0.062,82,0.034,
"Dade, GA",1151,0.41200000000000003,662,0.237,555,0.19899999999999998,273,0.098,119,0.043,
"Dawson, GA",2649,0.45399999999999996,1465,0.251,1094,0.188,311,0.053,266,0.046,
"Decatur, GA",1525,0.485,701,0.223,544,0.17300000000000001,210,0.067,112,0.036000000000000004,
"Dodge, GA",1360,0.504,504,0.187,486,0.18,226,0.084,84,0.031,
"Dooly, GA",584,0.555,200,0.19,157,0.149,68,0.065,29,0.027999999999999997,
"Dougherty, GA",3078,0.46799999999999997,1398,0.213,1148,0.175,445,0.068,386,0.059000000000000004,
"Douglas, GA",6984,0.428,4088,0.251,3402,0.209,990,0.061,609,0.037000000000000005,
"Early, GA",760,0.561,225,0.166,223,0.165,75,0.055,43,0.032,
"Echols, GA",268,0.583,110,0.239,37,0.08,31,0.067,5,0.011000000000000001,
"Effingham, GA",3648,0.39299999999999996,3093,0.33299999999999996,1490,0.161,608,0.066,305,0.033,
"Elbert, GA",1394,0.45899999999999996,716,0.23600000000000002,560,0.184,170,0.055999999999999994,150,0.049,
"Emanuel, GA",1489,0.502,692,0.233,463,0.156,198,0.067,86,0.028999999999999998,
"Evans, GA",481,0.38,328,0.259,309,0.244,80,0.063,42,0.033,
"Fannin, GA",3001,0.532,1143,0.203,862,0.153,350,0.062,215,0.038,
"Fayette, GA",8055,0.327,7252,0.294,5810,0.23600000000000002,1737,0.07,1511,0.061,
"Floyd, GA",5945,0.42200000000000004,3142,0.223,2861,0.203,1133,0.081,824,0.059000000000000004,
"Forsyth, GA",15698,0.37200000000000005,12046,0.285,9966,0.23600000000000002,2278,0.054000000000000006,1769,0.042,
"Franklin, GA",1997,0.46,1095,0.252,737,0.17,304,0.07,149,0.034,
"Fulton, GA",35052,0.41600000000000004,22368,0.266,12267,0.146,10550,0.125,2760,0.033,
"Gilmer, GA",3314,0.516,1327,0.207,1152,0.179,315,0.049,232,0.036000000000000004,
"Glascock, GA",405,0.586,129,0.187,88,0.127,42,0.061,10,0.013999999999999999,
"Glynn, GA",5516,0.43799999999999994,2555,0.203,2538,0.20199999999999999,943,0.075,846,0.067,
"Gordon, GA",4339,0.506,1603,0.187,1424,0.166,733,0.085,356,0.040999999999999995,
"Grady, GA",1422,0.445,805,0.252,555,0.17300000000000001,258,0.081,108,0.034,
"Greene, GA",1555,0.41200000000000003,982,0.26,637,0.16899999999999998,364,0.096,181,0.048,
"Gwinnett, GA",32014,0.325,29652,0.301,25313,0.257,5457,0.055,5029,0.051,
