 ,AGE040209D,AGE050210D,AGE270210D,AGE305210D,AGE770209D,AGN110207D,ANC100209D,BNK010210D,BNK050210D,BPS030210D,BPS130210D,BZN005209D,BZN075209D,BZN110209D,BZN210209D,BZN410209D,BZN450209D,BZN480209D,BZN510209D,BZN550209D,BZN610209D,BZN685209D,BZN710209D,BZN780209D,CLF010210D,CLF040210D,CRM110208D,CRM140208D,CRM240208D,CRM250208D,CRM260208D,EAN012207D,EDU015208D,EDU442209D,EDU490209D,EDU448209D,EDU496209D,HEA775207D,HIS020210D,HSD110210D,INC150209D,INC170209D,INC180209D,INC190209D,INC200209D,INC210209D,INC220209D,INC240209D,INC250209D,INC270209D,INC280209D,INC300209D,INC310209D,INC320209D,INC340209D,INC350209D,INC425209D,INC454209D,IPE010209D,IPE120209D,POP010210D,POP040210D,POP060210D,POP150210D,POP160210D,POP230210D,POP250210D,POP280210D,POP320210D
"Cass, IA",13758,45.1,3188,3768,2907,3070,13854,10,586,11,2690,2,0,52,25,77,32,15,39,14,34,3,41,1122,7574,6.3,16,0,56,160,9,29585,2579,28,17,5165,5317,10.2,253,3885,438,527,443,395,366,494,340,514,288,593,640,491,360,57,90,84,14303,772,40358,13.1,13956,-728,24.7,6819,7137,13502,35,28,30
"Cedar, IA",18006,42.4,4537,5374,2919,3678,17987,12,300,32,6454,2,2,74,29,67,31,6,25,14,28,1,54,555,11368,5.3,16,0,19,65,4,26709,3401,69,147,6515,6645,10.6,284,5181,310,279,503,328,447,407,354,608,369,870,914,1121,589,280,134,45,15169,360,52600,7.9,18499,312,31.9,9151,9348,17897,52,29,85
"Cerro Gordo, IA",43609,43.3,9491,13473,7761,3588,43927,27,994,51,9472,7,2,120,54,241,66,31,100,62,93,17,138,2814,25115,6.9,41,1,179,788,45,35124,6249,113,52,15138,17023,9.1,1694,11786,1031,1673,1183,1273,1175,1256,1069,1099,1010,1904,2099,2260,1181,422,376,388,15103,1532,44494,10.6,44151,-2296,77.7,21542,22609,40876,578,91,377
"Cherokee, IA",11409,47,2555,3161,2518,3796,11681,12,329,12,1890,2,3,37,22,70,21,9,27,7,15,4,38,286,6763,4.7,1,0,17,96,5,34258,1788,29,42,4323,4524,11.1,274,3384,190,353,389,529,337,322,258,383,251,561,570,689,229,88,123,55,15178,187,44474,9.7,12072,-963,20.9,5954,6118,11553,66,32,62
"Chickasaw, IA",12017,43.7,3035,3379,2137,3623,12160,11,405,7,1536,1,0,62,30,49,28,4,28,4,20,0,37,742,6672,7.3,6,1,6,15,1,31073,2175,22,58,4625,4518,12.2,269,3490,234,293,377,414,478,310,404,267,285,503,591,601,237,60,54,59,14141,226,43990,9.3,12439,-656,24.7,6255,6184,12048,41,10,40
"Clarke, IA",9086,40.2,2346,2826,1523,2313,9068,6,208,60,4336,0,1,12,12,43,6,1,14,8,14,0,29,0,4838,7.8,12,0,32,144,10,30195,1720,4,20,3303,3447,10.9,927,2461,197,253,306,212,238,119,216,275,199,480,397,408,160,51,155,24,13600,210,42384,12,9286,153,21.5,4626,4660,8208,39,29,37
"Clay, IA",16617,42.5,3830,4980,3159,3610,16676,12,602,16,3506,1,3,65,32,114,36,16,31,23,39,5,55,2129,9610,5.8,2,0,166,266,4,34629,2460,5,42,6008,6183,11.6,477,4596,398,528,434,502,537,401,461,634,492,607,1038,697,376,137,150,56,14075,484,44294,9,16667,-705,29.4,8171,8496,15843,69,38,99
"Clayton, IA",17463,45,4204,4850,3390,3108,17667,15,603,21,3616,5,0,61,30,82,34,9,36,6,29,2,54,684,9940,7.6,13,0,20,21,4,28645,2147,18,39,6545,6613,12.5,306,5020,499,415,537,606,519,476,385,308,471,881,955,936,349,107,83,88,13620,472,43387,11.3,18129,-549,23.3,9079,9050,17563,61,20,42
"Clinton, IA",48934,41.4,11590,15174,8110,3406,49129,26,891,80,12836,4,7,115,56,195,74,19,85,39,59,6,137,10200,27832,6.8,211,1,379,907,97,35357,8292,41,297,17038,18011,8.6,1243,13193,1178,1386,1320,1214,1248,1255,1259,1545,1112,1813,2438,2637,1293,421,312,246,15473,1881,47020,11.9,49116,-1033,70.7,24165,24951,45454,1291,121,280
"Crawford, IA",16416,38.4,4516,5280,2701,3115,16479,13,407,20,3174,3,2,55,20,77,50,8,38,11,20,6,39,470,9510,4.4,11,1,9,62,5,33286,3246,3,57,5838,5710,14.6,4131,4361,512,326,298,604,461,376,382,512,343,751,725,759,243,100,61,84,14132,640,42916,12.3,17096,154,23.9,8685,8411,12541,208,59,104
"Dallas, IA",61950,34.3,19221,24925,5012,3343,57115,31,816,265,55744,6,1,185,36,267,47,24,155,45,139,18,157,6659,34706,5.1,71,0,209,643,46,42380,12822,274,304,19794,20060,10.1,4059,17694,723,765,687,767,1039,986,1050,730,901,1700,2403,3129,2492,1216,1370,1103,15893,1020,71854,6,66135,25385,112.4,32349,33786,58630,918,127,1662
"Davis, IA",8562,38.6,2550,2441,1424,2347,8549,3,125,3,306,0,1,24,9,31,4,5,7,4,11,1,21,0,3955,7.9,18,0,6,8,0,26290,1236,10,36,3050,3043,14.6,85,2300,238,240,142,226,195,122,191,241,218,367,385,221,184,152,111,57,14742,187,42741,14.9,8753,212,17.4,4340,4413,8556,7,19,24
"Decatur, IA",8231,38.2,1918,2886,1451,2060,8321,6,107,4,195,0,0,21,5,27,4,4,6,2,10,2,21,0,4113,6.7,4,0,5,36,3,21961,1148,21,40,2748,2812,13.2,181,2076,416,402,270,180,255,219,175,190,179,351,293,197,122,21,68,38,14051,510,32242,21.1,8457,-232,15.9,4238,4219,7946,152,33,59
"Delaware, IA",17205,42.1,4483,5062,2860,3801,17445,11,527,10,1300,4,0,84,39,75,30,8,33,10,30,3,40,571,10735,5.9,38,0,28,47,6,31506,2995,52,78,6309,6246,11.4,139,4984,381,454,537,397,506,344,392,308,517,691,923,987,400,182,88,80,14004,355,48574,9.3,17764,-640,30.7,8875,8889,17408,48,18,49
"Des Moines, IA",41058,41.5,9343,12453,7157,3287,40700,22,841,33,5442,2,4,100,54,211,56,16,74,36,58,7,136,8682,20776,7.6,241,1,280,1218,98,39924,6481,71,110,14203,15445,8.7,1042,10919,1167,961,1255,1423,1141,1109,979,1143,773,1522,1830,2095,813,379,330,206,15927,1982,41273,12.8,40325,-2026,96.9,19600,20725,36059,2048,99,290
"Dickinson, IA",16623,48.1,3227,4433,3582,3538,16616,17,506,92,19670,4,2,104,37,110,39,17,43,44,43,9,54,6206,9381,6.8,9,1,52,166,3,29640,2645,24,86,6428,6589,11.3,178,4857,500,441,489,410,530,498,351,374,477,898,949,1089,468,181,195,229,15360,424,50069,8.4,16667,243,43.8,8260,8407,16255,29,13,72
"Dubuque, IA",93072,38.6,22252,31926,14466,3395,92046,42,2230,548,69097,16,7,304,155,441,120,54,207,105,170,40,255,35788,53627,6,417,0,576,1541,96,37664,14113,292,604,31044,32426,9.4,1807,24103,1975,1904,2292,2099,2492,2206,2330,1908,2047,3493,4446,4722,2253,1132,786,877,15316,2600,46894,9.5,93653,4510,154,46132,47521,86981,2486,178,878
"Emmet, IA",10241,41,2370,3192,1837,3594,10357,9,234,25,3744,2,1,46,20,50,26,8,20,2,21,2,34,61,5758,7.2,13,0,56,97,9,34308,1718,16,12,3697,3825,11.8,763,2684,270,340,284,307,189,245,296,305,243,426,519,529,179,66,62,69,14988,546,42979,11.3,10302,-725,26,5143,5159,9319,65,69,44
"Fayette, IA",20164,43.2,4691,6233,3972,3374,20484,15,433,5,941,5,2,62,30,90,33,11,48,15,38,2,59,478,10875,7.4,23,0,56,81,9,29524,3865,12,54,7142,7481,11,380,5596,764,649,709,628,657,483,510,595,320,890,812,945,331,158,114,75,14226,857,41809,12.9,20880,-1128,28.6,10432,10448,19987,198,21,107
"Floyd, IA",15910,43.3,3891,4601,3047,3728,16162,8,417,12,1799,2,2,34,18,68,18,11,34,10,30,1,52,683,8359,7.3,11,1,27,102,5,35048,2624,0,39,5753,6113,10.9,331,4462,632,547,507,590,407,263,530,292,300,662,718,661,228,88,123,94,14541,601,43288,12.6,16303,-597,32.6,7989,8314,15443,203,23,216
"Franklin, IA",10540,42.8,2547,3085,2002,3642,10594,8,254,2,515,3,3,36,25,36,12,9,22,12,21,1,32,408,5912,6.4,0,0,1,8,0,36021,1867,9,5,3968,3902,14.4,1209,2946,292,280,218,193,237,272,228,341,237,389,601,469,169,90,55,27,14257,191,46082,10.2,10680,-24,18.4,5380,5300,9334,38,20,28
"Fremont, IA",7345,45.1,1699,2009,1421,3061,7488,7,168,12,1892,0,0,24,10,32,16,4,16,2,10,1,17,0,3801,6.3,10,0,36,43,19,35064,939,4,6,2733,2786,11.5,187,2085,257,209,195,218,178,200,157,171,134,279,459,372,185,88,25,52,13700,293,45897,10.4,7441,-569,14.6,3695,3746,7123,39,23,20
"Greene, IA",9251,45.6,2156,2431,2007,3809,9489,9,314,13,3131,1,1,32,12,40,8,5,21,6,20,2,27,88,4987,6.2,3,0,44,25,13,32243,1634,9,6,3429,3619,11,171,2553,204,438,275,390,220,249,307,183,163,372,508,520,271,84,52,75,14876,261,44476,11.3,9336,-1030,16.4,4613,4723,9017,26,25,30
"Grundy, IA",12177,43,2965,3560,2303,3925,12166,10,367,14,2952,4,2,28,14,45,16,7,23,7,14,2,28,440,6928,5.9,3,0,18,58,8,34436,2758,37,77,4422,4441,12.6,122,3604,200,264,237,304,264,307,236,265,322,462,810,868,342,143,88,85,16779,265,55901,6.3,12453,84,24.8,6156,6297,12190,28,4,27
"Guthrie, IA",10833,44.8,2621,2886,2058,2995,11032,10,312,4,993,2,1,43,9,42,19,8,39,7,17,0,30,1022,5703,6.8,2,0,31,30,3,33465,2710,15,19,4008,4134,14,202,3098,275,380,239,321,249,176,327,232,252,485,570,651,274,107,130,96,14429,292,48626,9.2,10954,-399,18.5,5443,5511,10595,16,22,37
"Hamilton, IA",15238,42.3,3769,4576,2787,3946,15555,7,350,1,200,2,2,45,24,58,18,8,26,7,26,3,32,395,7779,7.8,60,2,74,185,11,36887,2854,9,29,5707,5763,9.5,782,4312,423,393,401,447,283,419,332,448,380,643,958,898,265,118,126,147,14338,454,46994,9.2,15673,-765,27.2,7792,7881,14344,50,33,311
"Hancock, IA",11046,44.8,2658,3036,2004,3575,11339,8,267,9,1490,1,1,31,27,46,29,4,17,10,14,2,15,295,5658,7.2,4,0,36,77,3,39120,1802,19,32,4161,4152,11.4,398,3184,289,302,234,264,323,223,285,284,225,572,710,610,239,60,74,58,14034,282,48040,9.2,11341,-759,19.9,5656,5685,10744,56,16,47
"Hardin, IA",17144,43.7,4048,4977,3527,3785,17486,16,606,4,487,5,1,67,27,88,31,12,45,17,35,1,42,419,9100,6.7,19,0,52,188,13,35265,2853,37,89,6203,6475,12.5,651,4706,507,519,413,561,500,474,540,503,379,740,799,830,313,148,164,150,15752,632,44705,9.8,17534,-1278,30.8,8717,8817,16430,217,42,79
"Harrison, IA",15328,42.9,3595,4253,2685,2966,15410,12,241,20,3140,1,2,34,11,54,14,6,29,9,18,2,34,282,7662,5.1,8,0,40,133,15,28456,3029,51,125,5483,5669,10,183,4120,441,383,303,410,384,395,398,301,295,647,811,862,442,100,123,90,14208,522,50368,10.6,14928,-738,21.4,7348,7580,14532,25,43,42
"Henry, IA",19929,40.2,4669,6669,3150,3055,20078,13,318,18,2723,5,2,58,31,65,21,9,36,16,39,3,50,758,9533,8.9,54,0,108,255,26,34696,4644,47,83,7324,7039,6.6,764,5236,619,563,511,656,469,447,532,521,375,582,952,903,452,141,149,156,15200,847,43887,15.8,20145,-191,46.4,10310,9835,18141,447,61,461
"Howard, IA",9410,42.1,2412,2699,1908,3051,9488,5,266,7,1349,2,2,31,24,54,11,4,21,6,17,5,24,289,4946,6.9,7,0,28,98,6,32631,1411,18,8,3423,3541,11.1,118,2547,247,211,267,356,250,303,172,241,254,448,554,399,145,84,60,58,13253,280,42421,11.6,9566,-366,20.2,4746,4820,9314,25,10,24
"Humboldt, IA",9473,44.3,2258,2731,1966,3751,9645,6,229,9,1897,7,4,26,24,45,30,5,21,9,21,1,21,116,5082,5.3,3,1,13,39,7,31696,1504,0,35,3541,3590,11,357,2731,262,261,285,276,283,246,252,240,222,433,503,616,264,69,51,64,14847,264,46437,10.1,9815,-566,22.6,4847,4968,9288,44,15,32
"Ida, IA",6762,44.8,1698,1869,1449,3215,6971,9,368,12,1770,2,2,29,12,41,30,3,23,8,12,2,24,300,3878,5.1,9,0,11,55,1,35247,1239,3,7,2477,2693,13.7,100,1968,264,218,205,159,198,194,166,245,117,359,351,410,118,101,52,21,14922,190,44892,11.2,7089,-748,16.4,3539,3550,6907,17,12,19
"Iowa, IA",15811,42.4,4017,4757,2762,3081,15840,10,237,10,1547,4,1,59,30,135,16,5,23,3,22,3,35,1458,8422,6.4,11,0,33,88,7,35266,2689,39,118,5722,5711,10.8,307,4547,238,324,305,259,276,468,283,273,349,769,926,1149,467,98,93,114,14893,294,52079,7.6,16355,684,27.9,8069,8286,15818,57,27,56
"Jackson, IA",19728,44,4605,5622,3637,2839,19892,14,416,20,2987,6,1,90,36,84,29,12,34,17,32,2,40,1053,11019,7.3,11,0,46,109,9,24685,3285,18,102,7274,7303,11.5,220,5576,625,490,526,638,622,464,443,479,425,767,886,1170,429,152,186,84,14381,723,44567,10.6,19848,-448,31.2,9846,10002,19223,61,40,47
"Jasper, IA",36257,41.6,8417,11676,5859,3453,36606,17,577,32,5357,1,1,88,38,114,36,16,44,29,54,5,86,2595,17404,8.2,37,1,116,432,23,35214,6006,128,81,13673,13260,9.5,537,10080,1008,838,961,852,826,851,831,914,1086,1530,1552,1780,1115,430,329,218,15696,1682,48439,10,36842,-371,50.4,18764,18078,35284,470,103,163
"Jefferson, IA",15472,43.5,3066,5590,2266,2846,15496,9,319,9,1248,1,1,43,34,77,16,23,53,26,133,13,51,0,7907,8.1,18,0,96,251,15,29146,2540,289,71,5397,5958,12.5,410,4080,975,420,500,354,428,485,298,306,296,594,670,775,458,75,127,85,13366,718,41523,15.4,16843,662,38.7,8997,7846,14539,214,31,1425
"Johnson, IA",131005,29.3,25918,65580,10923,3751,125810,47,2293,519,105349,2,4,350,78,521,80,44,183,140,254,34,366,5748,80319,4.4,412,8,646,2115,125,40385,14735,3075,3369,35744,36032,12.3,6200,27883,5291,3139,2879,3108,2057,1989,2429,2642,2115,4005,4928,6207,4032,2100,1959,1853,15701,2560,48955,16.6,130882,19876,213.1,65462,65420,108767,6305,287,6819
"Jones, IA",20364,42.7,4626,6332,3411,3496,20365,13,379,21,3206,3,1,92,25,75,26,12,37,15,28,6,40,2000,10655,6.5,10,0,44,149,18,29147,3149,0,64,8109,7154,11.3,270,5517,379,517,379,563,571,425,447,433,323,729,912,1074,515,165,126,83,15011,408,48254,9.5,20638,417,35.9,10713,9925,19716,408,49,90
"Keokuk, IA",10562,43.8,2442,2967,1977,2974,10712,11,253,4,350,1,1,38,13,42,21,4,20,4,6,0,22,0,5526,6.7,0,0,0,13,1,25946,1346,0,26,3925,4057,13.5,90,2941,371,230,291,389,359,252,349,250,293,535,541,442,213,64,70,28,14142,441,42969,12.1,10511,-889,18.1,5226,5285,10286,50,14,18
"Kossuth, IA",15154,46.6,3555,3896,3194,3603,15495,18,523,19,3339,8,2,64,27,98,42,10,37,14,41,6,40,701,8929,4.8,16,0,48,43,5,36974,1994,15,36,5588,5947,12.7,215,4403,330,420,525,414,401,345,489,400,397,658,781,793,283,150,205,184,15079,331,47812,10.1,15543,-1620,16,7708,7835,15121,44,20,59
"Lee, IA",35447,42.6,7961,11073,6031,2710,35772,27,754,133,10719,2,4,98,63,154,37,15,79,26,50,6,103,0,17169,9.7,228,0,202,751,63,37180,4348,55,115,13290,13150,9.3,1092,9584,1217,1105,915,1135,941,690,975,1148,733,1246,1572,1588,750,311,180,138,15375,1770,40921,14.9,35862,-2190,69.3,18131,17731,32833,1118,68,183
"Linn, IA",209226,36.5,51847,77287,26536,3762,204955,77,3930,818,77473,6,12,529,221,726,180,127,430,225,503,62,548,21409,122633,6,500,5,1570,5030,421,46434,35058,905,1280,69072,71902,9.8,5534,54169,4896,3963,4352,4490,4746,4965,4609,4424,4307,7320,10242,11717,6953,3567,2526,2499,15837,7593,53700,9.5,211226,19525,294.6,103950,107276,188592,8346,565,3806
"Louisa, IA",11245,39.8,2943,3525,1654,3191,11657,6,163,14,2267,1,2,20,12,27,18,4,16,5,12,1,23,163,5844,7,5,1,0,29,5,33354,2761,5,33,4036,4125,15.3,1797,3066,190,293,290,257,275,297,292,180,286,513,613,511,285,56,37,20,15353,345,45367,10.9,11387,-796,28.3,5793,5594,9309,60,33,102
"Lucas, IA",9179,44.1,2175,2372,1662,2174,9410,6,134,3,465,0,0,17,12,32,8,2,15,4,10,0,27,136,4750,5.6,22,0,77,157,16,27815,1537,12,3,3317,3722,9.8,89,2448,348,335,244,210,198,158,193,185,188,369,462,451,173,56,37,19,14226,519,38122,16.7,8898,-524,20.7,4432,4466,8720,17,16,15
"Lyon, IA",11172,38.7,3205,3419,1896,4202,11274,11,328,20,3770,3,2,48,26,56,33,7,28,7,18,6,20,289,6938,3.6,15,0,29,50,11,28437,1836,7,17,4123,4080,15.5,212,3237,189,218,176,272,286,287,270,226,338,461,688,707,206,45,109,24,13886,185,48467,8,11581,-182,19.7,5783,5798,11267,10,9,25
"Madison, IA",15409,39.8,4268,4734,2182,2955,15253,8,236,35,6222,2,0,69,16,51,16,10,26,5,33,2,28,219,8215,7,8,0,25,64,4,29769,3287,17,89,5459,5321,10.9,197,4410,297,184,351,226,373,265,283,257,313,573,625,913,489,340,217,137,15806,303,55607,8.5,15679,1660,27.9,7797,7882,15233,46,28,51
"Mahaska, IA",22000,38.9,5441,7357,3404,3068,22094,12,448,10,1520,3,2,60,34,100,31,15,39,11,33,5,53,1248,11577,7,49,0,107,289,24,31873,4068,54,90,7699,7675,9.3,360,6044,618,729,463,566,432,541,499,650,418,874,1050,1140,486,226,117,123,15189,989,45021,13,22381,46,39.2,11252,11129,21242,254,60,255
"Marion, IA",32682,38.6,8362,10917,5336,2915,32650,16,539,48,8884,1,4,90,41,147,32,12,45,31,51,7,98,2249,17028,6.3,66,1,61,192,9,38222,5929,50,131,11233,11264,8.8,531,8867,700,665,683,719,543,641,682,699,656,1257,1700,1812,1125,320,256,198,15125,716,52221,9.2,33309,1257,60.1,16541,16768,31834,225,60,379
"Marshall, IA",39259,39.6,10304,12601,6587,3724,39093,20,750,14,2519,1,5,72,41,150,34,17,63,38,52,4,82,3537,20324,6.9,189,2,302,763,67,38554,6754,88,117,13829,14263,10.5,7017,10452,791,1126,1010,740,1327,1041,879,774,835,1723,2003,1627,812,514,203,276,15726,1708,45190,12.6,40648,1337,71,20428,20220,31807,679,186,536
"Mills, IA",15002,41.2,3819,4445,1949,3333,15052,8,243,16,2199,0,1,42,5,33,16,2,26,13,25,1,33,927,7892,4.4,30,0,72,199,29,32525,3244,39,119,5518,5292,8.8,359,4093,178,319,248,335,201,323,308,233,149,584,682,876,458,202,199,111,15227,334,54646,9.1,15059,512,34.4,7572,7487,14390,57,49,55
"Mitchell, IA",10781,44,2664,2844,2281,3582,10790,7,401,24,3216,3,2,46,24,62,17,4,19,8,13,3,32,0,5549,5.5,11,0,30,42,6,36534,1964,37,16,3886,3925,11.4,110,2957,235,263,199,181,256,338,233,265,223,251,745,543,223,170,44,17,14740,200,46684,9,10776,-98,23,5309,5467,10564,21,10,28
"Monona, IA",8882,47.5,2048,2276,2094,3172,9118,12,252,15,2535,3,1,26,4,42,14,5,20,3,16,1,23,0,4528,7.9,0,0,0,1,1,27135,1397,3,54,3430,3621,10.5,107,2496,403,356,246,394,283,259,295,325,206,398,460,382,163,49,71,49,13834,375,41072,12.2,9243,-777,13.3,4516,4727,8904,33,97,20
"Monroe, IA",7549,42.1,1925,2352,1428,2260,7612,5,187,16,2301,1,1,20,13,30,5,2,12,2,10,1,24,76,4268,6.8,12,0,17,67,5,35808,1175,4,10,2680,2936,9.7,169,2195,281,301,213,257,236,171,176,244,97,328,368,277,106,72,99,11,12801,397,41103,12.9,7970,-46,18.4,3976,3994,7677,22,11,31
"Montgomery, IA",10796,44.6,2511,2909,2116,2919,10968,9,265,9,1740,1,2,35,11,54,20,10,24,10,20,0,39,0,5092,8.5,11,0,54,133,9,31645,1848,3,55,3974,4084,9.8,305,2929,401,332,353,415,362,296,319,269,198,360,423,550,241,66,107,24,14636,552,39430,14.5,10740,-1031,25.3,5209,5531,10265,25,38,23
"Muscatine, IA",42934,38.2,11164,14022,5457,3548,42448,17,750,46,4750,2,2,94,67,158,43,13,62,41,67,3,92,3165,23351,7.6,153,1,236,682,55,44000,7596,183,170,15294,14743,9.8,6803,11458,885,951,888,1081,901,830,942,876,862,1495,1810,2512,1317,487,344,322,15071,1818,48671,12,42745,1023,97.7,21227,21518,34518,606,133,350
"O'Brien, IA",13928,43.6,3393,4017,2979,4205,14062,13,432,7,1675,3,2,61,27,95,38,8,36,6,25,3,52,374,7843,4.9,11,0,35,84,11,30489,2379,37,57,4983,5189,12.5,545,3927,399,530,332,447,356,342,345,404,287,532,611,737,297,159,109,148,14189,280,43292,9.4,14398,-704,25.1,7166,7232,13605,67,18,82
"Osceola, IA",6344,43.5,1490,1842,1174,3879,6486,6,169,1,150,1,2,28,12,26,21,4,15,2,8,1,14,0,3236,5.7,2,0,3,8,0,34351,869,0,15,2350,2432,12.5,430,1787,158,185,265,189,197,210,199,106,104,303,318,198,154,38,67,26,14253,157,42469,9.2,6462,-541,16.2,3243,3219,5937,18,21,19
"Page, IA",15260,43.7,3506,4692,3121,2714,15749,13,375,13,2371,2,2,41,18,81,16,8,31,9,16,2,53,230,7528,6.6,12,0,98,186,25,32616,2740,4,56,6028,5930,9,438,4107,381,569,422,560,354,454,390,447,298,546,799,745,224,86,86,98,15140,582,40692,15.1,15932,-1044,29.8,8261,7671,14767,352,86,116
"Palo Alto, IA",9279,43.9,2068,2737,1979,3618,9405,9,269,4,671,1,3,25,19,44,21,7,26,7,13,3,34,0,5141,5.7,9,0,30,28,0,35795,1576,9,17,3401,3509,11.9,152,2510,398,353,307,192,297,289,209,223,201,424,346,380,218,92,85,34,14632,227,43752,11,9421,-726,16.7,4678,4743,9108,44,21,31
"Plymouth, IA",24210,41.2,6484,7204,3756,3628,24356,16,820,44,9542,3,4,84,30,105,60,7,57,16,38,10,54,855,14483,4.6,28,1,79,202,24,34748,4308,52,53,8550,8636,9.6,742,6953,369,401,578,516,497,481,519,413,597,1123,1197,1427,686,308,284,365,15247,374,58440,7.2,24986,137,29,12373,12613,23782,76,71,117
"Pocahontas, IA",7346,47.6,1569,1794,1600,3683,7574,10,205,4,950,4,2,22,13,33,23,4,23,1,18,2,21,218,4031,5.3,1,0,18,15,1,34285,970,7,30,2822,2938,14.2,166,2056,225,224,221,283,251,263,221,209,170,370,348,388,162,77,36,22,14523,239,45593,10.5,7310,-1352,12.7,3633,3677,7043,26,12,12
"Polk, IA",429439,34.7,109925,166897,48212,3846,415949,162,12980,2233,400146,15,23,986,352,1554,368,248,1092,531,1383,148,1050,92747,241570,6.1,1730,16,2798,11260,968,49644,67472,2233,2998,140199,149454,9.7,32647,108321,8539,7859,7583,9555,8172,8558,8915,8816,8005,15201,20404,24008,14919,7467,6191,6121,15973,13631,54948,10.9,430640,56039,750.5,211171,219469,347710,25853,1384,15220
"Pottawattamie, IA",90224,38.5,22479,31560,12723,3630,89627,35,1326,168,26789,7,4,215,63,320,133,27,118,91,132,15,193,31920,48100,5.2,475,4,1029,3401,493,36127,16090,186,374,31524,33158,11.1,6151,24515,2367,2085,1945,1742,2138,2268,2117,2046,1872,3159,4472,5059,2659,1330,748,637,15078,3346,45769,13.1,93158,5454,98,45690,47468,83609,1267,441,570
"Poweshiek, IA",18423,41,3952,6376,3331,3321,18564,11,369,19,3243,3,2,75,31,89,18,17,40,15,46,5,51,953,10336,5.9,28,0,128,272,20,35960,2958,59,10,6060,6454,10.4,456,4837,588,518,312,436,472,404,501,347,265,681,972,1025,497,316,191,191,15615,701,47337,12.6,18914,99,32.3,9257,9657,17705,220,50,260
"Ringgold, IA",4944,45.6,1243,1285,1125,2273,5062,4,77,2,345,2,1,17,10,26,4,1,11,3,8,1,14,133,2454,5.1,2,1,1,35,1,26231,786,12,42,1863,1928,13.5,91,1364,137,204,150,161,122,117,135,107,80,306,185,264,152,20,11,26,14090,202,35035,15.6,5131,-338,9.6,2492,2639,4966,17,14,16
"Sac, IA",10059,46.6,2325,2633,2283,3857,10311,14,320,3,446,1,3,28,24,59,42,6,21,4,17,2,24,0,5787,4.7,3,0,29,24,2,34051,1732,8,41,3937,4016,15.4,195,2897,365,276,351,220,431,370,281,257,191,610,456,387,260,72,66,75,14997,305,44135,11.8,10350,-1179,18,5064,5286,10031,31,7,16
"Scott, IA",166650,37.7,40566,57818,21122,4206,162994,57,3043,427,60546,2,12,468,189,651,138,74,312,179,397,51,482,25218,89952,6.9,838,7,1472,4836,353,40509,27813,1333,1692,54973,57053,9.9,9197,43144,4641,3274,3538,3634,3398,3853,3358,3576,3132,5845,6691,9005,4747,2647,2234,2056,15570,5896,50707,12.5,165224,6556,360.7,80977,84247,136884,11728,496,3332
"Shelby, IA",11957,45.4,2866,3138,2485,3213,12218,13,377,11,2212,2,2,50,16,61,28,8,39,5,25,5,35,804,7524,4.1,0,0,2,4,0,32499,1967,25,74,4366,4596,11,219,3374,318,222,313,357,356,310,406,290,362,398,530,567,224,111,111,39,14434,307,45177,9.1,12167,-1006,20.6,5942,6225,11763,32,28,46
"Sioux, IA",32244,32.7,9047,12081,4803,4534,32069,23,1181,88,17747,6,4,178,100,158,83,15,72,26,84,22,72,1101,19785,3.9,8,0,55,117,10,34732,4480,52,137,10046,10391,13.7,3001,8614,591,556,605,509,613,747,681,760,637,1291,1533,1493,607,209,174,205,15267,353,50978,7.1,33704,2115,43.9,16831,16873,30090,129,96,272
"Story, IA",87214,26.7,15953,47070,9090,3559,84780,42,1619,167,34488,17,4,199,68,307,41,49,138,91,208,22,173,6733,48905,4.6,245,5,499,1697,101,41307,10872,1894,1731,21425,23156,15.8,2695,18493,3046,2086,2129,1812,1901,1742,1607,1541,1350,2402,3025,4122,2219,1296,1069,706,17337,1399,48165,17.3,89542,9561,156.3,46412,43130,77812,2196,163,5383
"Tama, IA",17377,41.8,4540,5102,3196,3465,17659,12,322,15,2415,2,1,35,22,66,28,4,27,5,25,1,28,283,8857,6.9,28,0,65,59,11,31543,2643,27,43,6109,6392,12.3,1320,4821,376,390,396,581,503,415,504,397,373,683,1075,778,413,117,87,125,15532,500,45564,10.5,17767,-336,24.6,8731,9036,14874,60,1327,46
"Taylor, IA",6344,44.6,1476,1708,1306,2487,6434,6,94,2,370,1,0,14,7,19,12,2,11,4,9,0,12,0,3317,5.5,0,0,15,29,2,32246,991,4,15,2333,2442,14.1,364,1747,273,193,186,247,206,182,203,185,138,259,244,243,106,49,51,33,14057,189,39727,14.2,6317,-641,11.9,3147,3170,5872,14,9,17
"Union, IA",12241,40.9,2936,3870,2342,2518,12076,9,325,5,991,0,3,39,11,53,10,5,26,16,15,6,38,397,7043,5.7,17,0,56,195,18,31682,2012,62,11,4302,4643,9.8,225,3328,520,472,358,322,240,398,239,350,245,549,571,650,233,91,81,9,14689,645,41167,14.2,12534,225,29.6,6106,6428,12029,89,39,60
"Van Buren, IA",7679,43.3,1822,2122,1499,2478,7662,9,141,1,120,0,0,19,13,29,9,4,13,3,12,0,14,0,3793,7.9,7,0,44,52,2,28501,1165,11,7,2871,2952,12.9,88,2058,276,243,149,174,240,191,179,196,184,324,422,270,124,40,30,46,13330,287,37544,17.8,7570,-239,15.6,3806,3764,7373,15,10,40
